id,timestep,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,odor,velocity_a,acceleration_x,acceleration_y,acceleration_z,acceleration_a,heading_xy,heading_xz,heading_xyz,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_a,angular_acceleration_x,angular_acceleration_y,angular_acceleration_z,angular_acceleration_a,distance_from_wall,trajectory_id
19024774,66,-0.172487,-0.120919,-0.0286659,-0.0463936,-0.176635,0.0175978,400.0,0.183472,-0.438765,0.1801,1.04759,1.14995,75.2835,20.7725,75.3529,-5.61514,1.21969,-2.56095,6.29094,63.0202,-20.1379,-25.0654,70.7485,0.029081,s20140924_123536_3110
19024775,67,-0.172973,-0.122674,-0.0284386,-0.050796,-0.173847,0.0274516,400.0,0.183185,-0.407655,0.4106,0.795095,0.983337,73.7123,28.388,73.9012,-4.48302,0.874731,-2.75577,5.3345,158.659,-48.5876,-8.43626,166.146,0.027326,s20140924_123536_3110
19024776,68,-0.1735,-0.124387,-0.0281296,-0.0545467,-0.168423,0.0334997,400.0,0.180177,-0.31267,0.64635,0.343825,0.796082,72.0546,31.556,72.3778,-2.44197,0.247935,-2.72967,3.67094,222.269,-69.3462,14.6103,233.293,0.025613,s20140924_123536_3110
19024777,69,-0.17406,-0.126035,-0.027786,-0.0570494,-0.16092,0.0343281,400.0,0.17415,-0.181675,0.79335,-0.15298,0.828138,70.4796,31.0364,70.8776,-0.037643,-0.512192,-2.46357,2.51653,230.734,-73.6947,36.9126,245.013,0.023965,s20140924_123536_3110
19024778,70,-0.174637,-0.127603,-0.0274587,-0.0581802,-0.152556,0.0304401,400.0,0.166087,-0.052115,0.81305,-0.545545,0.980503,69.1247,27.6187,69.4944,2.1727,-1.22596,-1.99142,3.19208,194.977,-63.7151,50.3932,211.223,0.022397,s20140924_123536_3110
19024779,71,-0.175219,-0.129088,-0.0271876,-0.0580917,-0.144659,0.0234172,400.0,0.157636,0.048325,0.7494,-0.779485,1.08237,68.1208,21.9547,68.3758,3.8619,-1.78649,-1.4557,4.49721,135.583,-47.2437,34.9782,147.777,0.020912,s20140924_123536_3110
19024780,72,-0.175796,-0.130499,-0.0269955,-0.0572137,-0.137568,0.0148504,400.0,0.149729,0.09108,0.72345,-0.871173,1.13605,67.4179,14.5506,67.5353,4.88436,-2.17083,-1.29186,5.49895,66.6843,-27.56,-27.2228,77.1196,0.019501,s20140924_123536_3110
19024781,73,-0.176363,-0.131838,-0.0268916,-0.0562701,-0.13019,0.00599374,400.0,0.141957,0.05731,0.83325,-0.839749,1.18439,66.6253,6.08007,66.6473,5.19558,-2.33769,-2.00016,6.03817,3.53432,-3.24291,-128.649,128.739,0.018162,s20140924_123536_3110
19024782,74,-0.176924,-0.133096,-0.0268726,-0.0560675,-0.120903,-0.00194458,400.0,0.133285,-0.043725,1.0925,-0.707173,1.30214,65.121,1.98638,65.1238,4.95505,-2.23569,-3.86484,6.66992,-28.0957,21.117,-251.413,253.858,0.016904,s20140924_123536_3110
19024783,76,-0.177489,-0.134246,-0.0269247,-0.0571446,-0.10834,-0.00814972,400.0,0.122758,-0.174555,1.45631,-0.530016,1.55956,62.1903,8.11655,62.257,4.63367,-1.91535,-7.02842,8.63355,-4.73755,33.509,-387.85,389.324,0.015754,s20140924_123536_3110
